Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.1196,90,0.0071,86760,10011.51932,1
6,12,0.1196,90,0.0121,26350,5913.529318,1
6,12,0.1196,90,0.0171,25810,4698.442555,1
6,12,0.1196,90,0.0221,40060,4836.819352,1
6,12,0.1196,145,0.0021,17100,779.0789434,1
6,12,0.1196,145,0.0071,4800,353.2930795,1
6,12,0.1196,145,0.0121,2390,215.3714001,1
6,12,0.1196,145,0.0171,3280,268.1480188,1
6,12,0.1196,145,0.0221,7220,434.6853575,1
6,12,0.1597,90,0.0022,122300,5973.727145,1
6,12,0.1597,90,0.0072,45470,2352.851113,1
6,12,0.1597,90,0.0122,22240,1468.961211,1
6,12,0.1597,90,0.0172,13940,1173.596796,1
6,12,0.1597,90,0.0222,19770,1387.530598,1
6,12,0.1597,90,0.0272,22000,1429.405471,1
6,12,0.1597,90,0.0322,23400,1542.70023,1
6,12,0.1597,90,0.0372,22540,1489.839132,1
6,12,0.1597,90,0.0422,21370,1463.786446,1
6,12,0.1597,90,0.0472,19390,1433.453466,1
6,12,0.1597,90,0.0522,17230,1393.287178,1
6,12,0.1597,90,0.0572,14640,1342.323299,1
6,12,0.1597,90,0.0622,12000,1292.47824,1
6,12,0.1597,145,0.0022,718,72.43762558,1
6,12,0.1597,145,0.0072,1331,77.70215184,1
6,12,0.1597,145,0.0122,947,54.40334181,1
6,12,0.1597,145,0.0172,1055,61.71879778,1
6,12,0.1597,145,0.0222,3930,187.2911103,1
6,12,0.1597,145,0.0272,2770,132.1709499,1
6,12,0.1597,145,0.0322,3320,173.2309441,1
6,12,0.1597,145,0.0372,4030,197.2216013,1
6,12,0.1597,145,0.0422,4900,240.840196,1
6,12,0.1597,145,0.0472,5420,272.4895594,1
6,12,0.1597,145,0.0522,5620,292.461553,1
6,12,0.1597,145,0.0572,5500,300.8321791,1
6,12,0.1597,145,0.0622,5130,298.205902,1
6,12,0.16,36,0.0125,410600,183383.9604,1
6,12,0.16,36,0.0175,409000,147726.6476,1
6,12,0.16,36,0.0225,790800,147351.2669,1
6,12,0.16,36,0.0275,542100,123476.9167,1
6,12,0.161,60,0.0084,146800,19472.61143,1
6,12,0.161,60,0.0134,81090,10911.20228,1
6,12,0.161,60,0.0184,96280,9448.303306,1
6,12,0.161,60,0.0234,147100,9782.855616,1
6,12,0.161,60,0.0284,132800,8762.239212,1
6,12,0.161,60,0.0334,101000,7622.525828,1
6,12,0.161,60,0.0384,84780,7008.213707,1
6,12,0.161,60,0.0434,71350,6537.639406,1
6,12,0.161,60,0.0484,58670,6152.923497,1
6,12,0.1999,90,0.0049,1750,115.4339638,1
6,12,0.1999,90,0.0099,20370,906.6833846,1
6,12,0.1999,90,0.0149,12140,529.0102456,1
6,12,0.1999,90,0.0199,9460,460.6480652,1
6,12,0.1999,90,0.0249,11500,541.2947441,1
6,12,0.1999,90,0.0299,11750,570.6356105,1
6,12,0.1999,90,0.0349,12570,595.6525497,1
6,12,0.1999,90,0.0399,14300,691.8786021,1
6,12,0.1999,90,0.0449,15130,735.1644442,1
6,12,0.1999,90,0.0499,15350,736.9864314,1
6,12,0.1999,90,0.0549,15280,763.8006023,1
6,12,0.1999,90,0.0599,13750,733.5018746,1
6,12,0.1999,90,0.0649,12280,694.8520418,1
6,12,0.1999,90,0.0699,10840,666.2598892,1
6,12,0.1999,90,0.0749,9560,648.8123303,1
6,12,0.1999,90,0.0799,7970,591.8685327,1
6,12,0.1999,90,0.0849,6050,572.923206,1
6,12,0.1999,90,0.0899,5340,678.4587239,1
6,12,0.1999,90,0.0949,4560,577.2498939,1
6,12,0.1999,90,0.0999,3700,574.7834375,1
6,12,0.1999,145,0.0099,238,19.58717948,1
6,12,0.1999,145,0.0149,207,13.64329872,1
6,12,0.1999,145,0.0199,840,48.03373814,1
6,12,0.1999,145,0.0249,2082,90.18807903,1
6,12,0.1999,145,0.0299,1520,73.57418025,1
6,12,0.1999,145,0.0349,1822,82.48559632,1
6,12,0.1999,145,0.0399,2130,99.57288788,1
6,12,0.1999,145,0.0449,2520,111.9828558,1
6,12,0.1999,145,0.0499,2940,124.7294672,1
6,12,0.1999,145,0.0549,3400,155.6406117,1
6,12,0.1999,145,0.0599,3660,166.9078788,1
6,12,0.1999,145,0.0649,3750,176.7059705,1
6,12,0.1999,145,0.0699,3860,186.7079002,1
6,12,0.1999,145,0.0749,3930,196.4127287,1
6,12,0.1999,145,0.0799,3730,185.6479464,1
6,12,0.1999,145,0.0849,3440,192.7003892,1
6,12,0.1999,145,0.0899,3100,180.9530326,1
6,12,0.1999,145,0.0949,2820,169.6495211,1
6,12,0.1999,145,0.0999,2480,157.9878476,1
6,12,0.2,36,0.0175,435600,78683.79086,1
6,12,0.2,36,0.0225,601100,76352.39671,1
6,12,0.2,36,0.0275,650100,71757.76546,1
6,12,0.2,36,0.0325,455800,59690.21323,1
6,12,0.2,36,0.0375,375600,53905.97874,1
6,12,0.2,36,0.0425,276200,47730.73094,1
6,12,0.2,36,0.0475,200300,43106.54748,1
6,12,0.2,60,0.0075,164000,13291.07972,1
6,12,0.2,60,0.0125,84410,6223.352733,1
6,12,0.2,60,0.0175,51280,4391.441148,1
6,12,0.2,60,0.0225,77990,5009.049415,1
6,12,0.2,60,0.0275,82410,4980.618761,1
6,12,0.2,60,0.0325,74080,4595.393189,1
6,12,0.2,60,0.0375,68520,4389.407268,1
6,12,0.2,60,0.0425,64950,4272.271176,1
6,12,0.2,60,0.0475,56440,4002.472916,1
6,12,0.2,60,0.0525,47050,3759.665012,1
6,12,0.2,60,0.0575,39000,3654.216742,1
6,12,0.2,60,0.0625,31660,3438.799535,1
6,12,0.2,60,0.0675,26050,3242.135253,1
6,12,0.24,36,0.0125,361300,50964.86609,1
6,12,0.24,36,0.0175,304100,41646.49714,1
6,12,0.24,36,0.0225,497200,44651.36096,1
6,12,0.24,36,0.0275,462100,40557.05443,1
6,12,0.24,36,0.0325,361500,34858.03924,1
6,12,0.24,36,0.0375,291200,30746.62707,1
6,12,0.24,36,0.0425,260000,28508.26021,1
6,12,0.24,36,0.0475,206600,25575.9853,1
6,12,0.24,36,0.0525,197900,24679.45226,1
6,12,0.24,36,0.0575,138300,20002.17128,1
6,12,0.24,36,0.0625,102200,18533.06062,1
6,12,0.24,60,0.0029,270700,8992.429927,1
6,12,0.24,60,0.0079,106700,4639.865946,1
6,12,0.24,60,0.0129,60580,2169.786754,1
6,12,0.24,60,0.0179,33090,1476.610727,1
6,12,0.24,60,0.0229,43270,1645.878841,1
6,12,0.24,60,0.0279,45830,1648.349344,1
6,12,0.24,60,0.0329,48900,1707.771647,1
6,12,0.24,60,0.0379,47980,1697.301435,1
6,12,0.24,60,0.0429,48650,1737.909376,1
6,12,0.24,60,0.0479,46260,1694.814161,1
6,12,0.24,60,0.0529,43750,1659.435145,1
6,12,0.24,60,0.0579,39630,1600.098359,1
6,12,0.24,60,0.0629,33680,1473.036646,1
6,12,0.24,60,0.0679,29580,1382.928256,1
6,12,0.24,60,0.0729,24830,1317.198375,1
6,12,0.24,60,0.0779,19880,1226.248653,1
6,12,0.24,60,0.0829,16970,1160.729236,1
6,12,0.24,60,0.0879,14830,1148.943671,1
6,12,0.24,60,0.0929,12020,1116.195395,1
6,12,0.24,60,0.0979,10710,1120.661251,1
6,12,0.24,60,0.1029,9650,1156.221865,1
6,12,0.24,60,0.1079,7140,1129.066801,1
6,12,0.2411,90,0.0036,210,20.43624232,1
6,12,0.2411,90,0.0086,4570,184.2660034,1
6,12,0.2411,90,0.0136,4830,161.9616004,1
6,12,0.2411,90,0.0186,4020,161.4439841,1
6,12,0.2411,90,0.023,5860,223.239423,1
6,12,0.2411,90,0.0286,4980,205.7186428,1
6,12,0.2411,90,0.0336,6010,233.341038,1
6,12,0.2411,90,0.0386,6790,258.5375021,1
6,12,0.2411,90,0.0436,8100,332.1806737,1
6,12,0.2411,90,0.0486,8690,338.0923542,1
6,12,0.2411,90,0.0536,9400,362.5520652,1
6,12,0.2411,90,0.0586,9920,385.0487761,1
6,12,0.2411,90,0.0636,10330,406.4278042,1
6,12,0.2411,90,0.0686,9950,411.3404916,1
6,12,0.2411,90,0.0736,9970,411.5341541,1
6,12,0.2411,90,0.0785,9330,405.4868185,1
6,12,0.2411,90,0.0836,8480,388.926934,1
6,12,0.2411,90,0.0886,7560,362.9895866,1
6,12,0.2411,90,0.0936,6660,346.6154065,1
6,12,0.2411,90,0.0986,5880,331.5565713,1
6,12,0.2411,90,0.1036,4910,306.1751786,1
6,12,0.2411,90,0.1086,4320,293.0272342,1
