Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.1506,180.0,0.015451557599832744,66.0,38.0,17
6,12,0.1506,180.0,0.016351557599832728,104.5,50.5,17
6,12,0.1506,180.0,0.017051557599832734,104.5,50.5,17
6,12,0.1506,180.0,0.01775155759983274,155.5,50.5,17
6,12,0.1506,180.0,0.018451557599832746,534.0,76.0,17
6,12,0.1506,180.0,0.01885155759983273,799.0,63.0,17
6,12,0.1506,180.0,0.019451557599832747,1772.0,75.5,17
6,12,0.1506,180.0,0.019951557599832748,2226.0,75.5,17
6,12,0.1506,180.0,0.02095155759983275,2150.0,50.5,17
6,12,0.1506,180.0,0.021251557599832743,1760.0,113.5,17
6,12,0.1506,180.0,0.021851557599832733,1406.0,88.0,17
6,12,0.1506,180.0,0.022251557599832744,2505.0,101.0,17
6,12,0.1506,180.0,0.022951557599832723,3818.0,101.0,17
6,12,0.1506,180.0,0.023351557599832734,4272.0,75.5,17
6,12,0.1506,180.0,0.02405155759983274,4538.0,38.0,17
6,12,0.1506,180.0,0.02465155759983273,3541.0,101.0,17
6,12,0.1506,180.0,0.024851557599832735,2632.0,126.5,17
6,12,0.1506,180.0,0.025351557599832736,2190.0,63.0,17
6,12,0.1506,180.0,0.02555155759983274,1774.0,50.5,17
6,12,0.1506,180.0,0.02625155759983272,1748.0,101.0,17
6,12,0.1506,180.0,0.02675155759983272,1634.0,88.5,17
6,12,0.1506,180.0,0.027151557599832732,1723.0,76.0,17
6,12,0.1506,180.0,0.02775155759983272,1748.0,75.5,17
6,12,0.1506,180.0,0.02835155759983274,1888.0,88.5,17
6,12,0.1506,180.0,0.028651557599832733,2052.0,101.0,17
6,12,0.1506,180.0,0.029251557599832723,2052.0,101.0,17
6,12,0.1506,180.0,0.02995155759983273,2103.0,101.0,17
6,12,0.1506,180.0,0.030551557599832746,2064.0,88.5,17
6,12,0.1506,180.0,0.031251557599832724,2002.0,101.0,17
6,12,0.1506,180.0,0.031651557599832736,2192.0,88.5,17
6,12,0.1506,180.0,0.03385155759983274,2368.0,113.5,17
6,12,0.1506,180.0,0.03565155759983274,2572.0,113.5,17
6,12,0.1506,180.0,0.03775155759983273,2812.0,126.5,17
6,12,0.1506,180.0,0.03975155759983273,3078.0,113.5,17
6,12,0.1506,180.0,0.04185155759983272,3469.0,101.0,17
6,12,0.1506,180.0,0.043851557599832724,3735.0,164.0,17
6,12,0.1506,180.0,0.04575155759983274,3862.0,164.5,17
6,12,0.1506,180.0,0.04765155759983275,4039.0,164.0,17
6,12,0.1506,180.0,0.04995155759983272,4191.0,164.0,17
6,12,0.1506,180.0,0.05195155759983272,4154.0,151.5,17
6,12,0.1506,180.0,0.05355155759983274,4166.0,164.5,17
6,12,0.1506,180.0,0.05565155759983273,4066.0,189.0,17
6,12,0.1506,180.0,0.057951557599832726,3826.0,151.5,17
6,12,0.1506,180.0,0.05975155759983275,3776.0,151.5,17
6,12,0.1506,180.0,0.06185155759983274,3726.0,151.5,17
6,12,0.1506,180.0,0.06405155759983272,3576.0,126.0,17
6,12,0.1506,180.0,0.06575155759983273,3236.0,113.5,17
6,12,0.1506,180.0,0.06775155759983273,3185.0,139.0,17
6,12,0.1506,180.0,0.06995155759983274,2946.0,126.0,17
6,12,0.1506,180.0,0.07155155759983273,2795.0,126.0,17
6,12,0.1506,180.0,0.07385155759983275,2492.0,176.5,17
6,12,0.1506,180.0,0.07575155759983274,2392.0,151.5,17
6,12,0.1506,180.0,0.07795155759983274,2190.0,126.5,17
6,12,0.1506,180.0,0.07985155759983273,2128.0,113.5,17
6,12,0.1506,180.0,0.08185155759983273,1990.0,126.5,17
6,12,0.1506,180.0,0.08385155759983273,1864.0,126.5,17
6,12,0.1506,180.0,0.08595155759983275,1725.0,139.0,17
6,12,0.1506,180.0,0.08795155759983275,1726.0,113.5,17
6,12,0.1506,180.0,0.08965155759983273,1752.0,113.5,17
6,12,0.1506,180.0,0.09195155759983273,1651.0,139.0,17
6,12,0.1506,180.0,0.09375155759983272,1436.0,151.5,17
6,12,0.1506,180.0,0.09555155759983275,1236.0,126.5,17
6,12,0.1506,180.0,0.09785155759983272,1135.0,126.0,17
6,12,0.1506,180.0,0.09965155759983274,946.0,114.0,17
