Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),Ex
6,12,0.25,40,0.015711316,121600,3648,16,0.698131701,0.116977778,0.01441
6,12,0.25,40,0.015901316,119900,3597,16,0.698131701,0.116977778,0.0146
6,12,0.25,40,0.016021316,133000,3990,16,0.698131701,0.116977778,0.01472
6,12,0.25,40,0.016101316,146000,4380,16,0.698131701,0.116977778,0.0148
6,12,0.25,40,0.016181316,157200,4716,16,0.698131701,0.116977778,0.01488
6,12,0.25,40,0.016321316,173000,5190,16,0.698131701,0.116977778,0.01502
6,12,0.25,40,0.016411316,185200,5556,16,0.698131701,0.116977778,0.01511
6,12,0.25,40,0.016531316,199900,5997,16,0.698131701,0.116977778,0.01523
6,12,0.25,40,0.016741316,197600,5928,16,0.698131701,0.116977778,0.01544
6,12,0.25,40,0.016951316,198900,5967,16,0.698131701,0.116977778,0.01565
6,12,0.25,40,0.017011316,212700,6381,16,0.698131701,0.116977778,0.01571
6,12,0.25,40,0.017051316,227000,6810,16,0.698131701,0.116977778,0.01575
6,12,0.25,40,0.017101316,243400,7302,16,0.698131701,0.116977778,0.0158
6,12,0.25,40,0.017161316,259800,7794,16,0.698131701,0.116977778,0.01586
6,12,0.25,40,0.017201316,271500,8145,16,0.698131701,0.116977778,0.0159
6,12,0.25,40,0.017241316,284800,8544,16,0.698131701,0.116977778,0.01594
6,12,0.25,40,0.017281316,298200,8946,16,0.698131701,0.116977778,0.01598
6,12,0.25,40,0.017321316,310800,9324,16,0.698131701,0.116977778,0.01602
6,12,0.25,40,0.017371316,326500,9795,16,0.698131701,0.116977778,0.01607
6,12,0.25,40,0.017551316,317800,9534,16,0.698131701,0.116977778,0.01625
6,12,0.25,40,0.017631316,296100,8883,16,0.698131701,0.116977778,0.01633
6,12,0.25,40,0.017641316,304400,9132,16,0.698131701,0.116977778,0.01634
6,12,0.25,40,0.017671316,280900,8427,16,0.698131701,0.116977778,0.01637
6,12,0.25,40,0.017701316,265300,7959,16,0.698131701,0.116977778,0.0164
6,12,0.25,40,0.017741316,249500,7485,16,0.698131701,0.116977778,0.01644
6,12,0.25,40,0.017771316,229700,6891,16,0.698131701,0.116977778,0.01647
6,12,0.25,40,0.017811316,217400,6522,16,0.698131701,0.116977778,0.01651
6,12,0.25,40,0.017831316,207200,6216,16,0.698131701,0.116977778,0.01653
6,12,0.25,40,0.017861316,193400,5802,16,0.698131701,0.116977778,0.01656
6,12,0.25,40,0.017891316,180100,5403,16,0.698131701,0.116977778,0.01659
6,12,0.25,40,0.017931316,161300,4839,16,0.698131701,0.116977778,0.01663
6,12,0.25,40,0.017991316,139900,4197,16,0.698131701,0.116977778,0.01669
6,12,0.25,40,0.018191316,130500,3915,16,0.698131701,0.116977778,0.01689
6,12,0.25,40,0.018381316,132200,3966,16,0.698131701,0.116977778,0.01708
6,12,0.25,40,0.018601316,131900,3957,16,0.698131701,0.116977778,0.0173
6,12,0.25,40,0.018811316,126800,3804,16,0.698131701,0.116977778,0.01751
6,12,0.25,40,0.019031316,121700,3651,16,0.698131701,0.116977778,0.01773
6,12,0.25,40,0.019221316,129300,3879,16,0.698131701,0.116977778,0.01792
6,12,0.25,40,0.019431316,138000,4140,16,0.698131701,0.116977778,0.01813
6,12,0.25,40,0.019641316,150900,4527,16,0.698131701,0.116977778,0.01834
6,12,0.25,40,0.019841316,160800,4824,16,0.698131701,0.116977778,0.01854
6,12,0.25,40,0.020041316,171900,5157,16,0.698131701,0.116977778,0.01874
6,12,0.25,40,0.020261316,173400,5202,16,0.698131701,0.116977778,0.01896
6,12,0.25,40,0.020461316,180800,5424,16,0.698131701,0.116977778,0.01916
6,12,0.25,40,0.020581316,189200,5676,16,0.698131701,0.116977778,0.01928
6,12,0.25,40,0.020711316,198800,5964,16,0.698131701,0.116977778,0.01941
6,12,0.25,40,0.020881316,212700,6381,16,0.698131701,0.116977778,0.01958
6,12,0.25,40,0.021081316,215200,6456,16,0.698131701,0.116977778,0.01978
6,12,0.25,40,0.021331316,202100,6063,16,0.698131701,0.116977778,0.02003
6,12,0.25,40,0.021501316,191300,5739,16,0.698131701,0.116977778,0.0202
6,12,0.25,40,0.021711316,189900,5697,16,0.698131701,0.116977778,0.02041
6,12,0.25,40,0.021931316,192000,5760,16,0.698131701,0.116977778,0.02063
6,12,0.25,40,0.022151316,209100,6273,16,0.698131701,0.116977778,0.02085
6,12,0.25,40,0.022381316,227600,6828,16,0.698131701,0.116977778,0.02108
6,12,0.25,40,0.022551316,242000,7260,16,0.698131701,0.116977778,0.02125
6,12,0.25,40,0.022591316,249400,7482,16,0.698131701,0.116977778,0.02129
6,12,0.25,40,0.022751316,263400,7902,16,0.698131701,0.116977778,0.02145
6,12,0.25,40,0.022801316,273200,8196,16,0.698131701,0.116977778,0.0215
6,12,0.25,40,0.022921316,287400,8622,16,0.698131701,0.116977778,0.02162
6,12,0.25,40,0.023001316,299500,8985,16,0.698131701,0.116977778,0.0217
6,12,0.25,40,0.023101316,317300,9519,16,0.698131701,0.116977778,0.0218
6,12,0.25,40,0.023191316,332800,9984,16,0.698131701,0.116977778,0.02189
6,12,0.25,40,0.023291316,346500,10395,16,0.698131701,0.116977778,0.02199
6,12,0.25,40,0.023421316,361600,10848,16,0.698131701,0.116977778,0.02212
6,12,0.25,40,0.023581316,366500,10995,16,0.698131701,0.116977778,0.02228
6,12,0.25,40,0.023811316,358100,10743,16,0.698131701,0.116977778,0.02251
6,12,0.25,40,0.024031316,345800,10374,16,0.698131701,0.116977778,0.02273
6,12,0.25,40,0.024221316,331800,9954,16,0.698131701,0.116977778,0.02292
6,12,0.25,40,0.024461316,317700,9531,16,0.698131701,0.116977778,0.02316
6,12,0.25,40,0.024641316,305200,9156,16,0.698131701,0.116977778,0.02334
6,12,0.25,40,0.024851316,302000,9060,16,0.698131701,0.116977778,0.02355
6,12,0.25,40,0.025071316,308200,9246,16,0.698131701,0.116977778,0.02377
6,12,0.25,40,0.025271316,321000,9630,16,0.698131701,0.116977778,0.02397
6,12,0.25,40,0.025471316,327800,9834,16,0.698131701,0.116977778,0.02417
6,12,0.25,40,0.025721316,320400,9612,16,0.698131701,0.116977778,0.02442
6,12,0.25,40,0.025871316,303900,9117,16,0.698131701,0.116977778,0.02457
6,12,0.25,40,0.025941316,294700,8841,16,0.698131701,0.116977778,0.02464
6,12,0.25,40,0.026111316,278200,8346,16,0.698131701,0.116977778,0.02481
6,12,0.25,40,0.026281316,265700,7971,16,0.698131701,0.116977778,0.02498
6,12,0.25,40,0.026501316,265800,7974,16,0.698131701,0.116977778,0.0252
6,12,0.25,40,0.026701316,275700,8271,16,0.698131701,0.116977778,0.0254
6,12,0.25,40,0.026911316,285600,8568,16,0.698131701,0.116977778,0.02561
6,12,0.25,40,0.027141316,291800,8754,16,0.698131701,0.116977778,0.02584
6,12,0.25,40,0.027331316,297500,8925,16,0.698131701,0.116977778,0.02603
6,12,0.25,40,0.027531316,296200,8886,16,0.698131701,0.116977778,0.02623
6,12,0.25,40,0.027761316,290900,8727,16,0.698131701,0.116977778,0.02646
6,12,0.25,40,0.027941316,287400,8622,16,0.698131701,0.116977778,0.02664
6,12,0.25,40,0.028161316,285300,8559,16,0.698131701,0.116977778,0.02686
6,12,0.25,40,0.028371316,283000,8490,16,0.698131701,0.116977778,0.02707
6,12,0.25,40,0.028571316,280600,8418,16,0.698131701,0.116977778,0.02727
6,12,0.25,40,0.028791316,270700,8121,16,0.698131701,0.116977778,0.02749
6,12,0.25,40,0.028981316,261900,7857,16,0.698131701,0.116977778,0.02768
6,12,0.25,40,0.029181316,254600,7638,16,0.698131701,0.116977778,0.02788
6,12,0.25,40,0.029411316,249000,7470,16,0.698131701,0.116977778,0.02811
6,12,0.25,40,0.029641316,244900,7347,16,0.698131701,0.116977778,0.02834
