Z,A,theta,E0,Ex,dataSet,cross,error,nu
6,12,60,0.1025,0.0192,Ricco: 1968,206730.7692,19230.76923,0.01966781
6,12,60,0.1025,0.0196,Ricco: 1968,211538.4615,19551.28205,0.02006781
6,12,60,0.1025,0.02,Ricco: 1968,198717.9487,17628.20513,0.02046781
6,12,60,0.1025,0.0202,Ricco: 1968,222756.4103,19230.76923,0.02066781
6,12,60,0.1025,0.0204,Ricco: 1968,209935.8974,17307.69231,0.02086781
6,12,60,0.1025,0.0209,Ricco: 1968,241987.1795,21153.84615,0.02136781
6,12,60,0.1025,0.021,Ricco: 1968,328525.641,16025.64103,0.02146781
6,12,60,0.1025,0.0215,Ricco: 1968,334935.8974,19230.76923,0.02196781
6,12,60,0.1025,0.0216,Ricco: 1968,365384.6154,17948.71795,0.02206781
6,12,60,0.1025,0.0219,Ricco: 1968,434294.8718,13461.53846,0.02236781
6,12,60,0.1025,0.022,Ricco: 1968,448717.9487,21794.87179,0.02246781
6,12,60,0.1025,0.0221,Ricco: 1968,467948.7179,14423.07692,0.02256781
6,12,60,0.1025,0.0223,Ricco: 1968,440705.1282,18589.74359,0.02276781
6,12,60,0.1025,0.0225,Ricco: 1968,450320.5128,12179.48718,0.02296781
6,12,60,0.1025,0.0226,Ricco: 1968,479807.6923,20192.30769,0.02306781
6,12,60,0.1025,0.0228,Ricco: 1968,540705.1282,22756.41026,0.02326781
6,12,60,0.1025,0.0229,Ricco: 1968,498397.4359,14423.07692,0.02336781
6,12,60,0.1025,0.0229,Ricco: 1968,453525.641,14423.07692,0.02336781
6,12,60,0.1025,0.0231,Ricco: 1968,458333.3333,19871.79487,0.02356781
6,12,60,0.1025,0.0233,Ricco: 1968,419871.7949,20833.33333,0.02376781
6,12,60,0.1025,0.0237,Ricco: 1968,411858.9744,19871.79487,0.02416781
6,12,60,0.1025,0.0239,Ricco: 1968,349358.9744,19230.76923,0.02436781
6,12,60,0.1025,0.0243,Ricco: 1968,333333.3333,21474.35897,0.02476781
6,12,60,0.1025,0.0246,Ricco: 1968,338141.0256,13461.53846,0.02506781
6,12,60,0.1025,0.025,Ricco: 1968,291666.6667,15384.61538,0.02546781
6,12,60,0.1025,0.0253,Ricco: 1968,342628.2051,12820.51282,0.02576781
6,12,60,0.1025,0.0255,Ricco: 1968,338141.0256,14743.58974,0.02596781
6,12,60,0.1025,0.0259,Ricco: 1968,308653.8462,10256.41026,0.02636781
6,12,60,0.1025,0.026,Ricco: 1968,323717.9487,16346.15385,0.02646781
6,12,60,0.1025,0.0262,Ricco: 1968,317307.6923,19871.79487,0.02666781
6,12,60,0.1025,0.0265,Ricco: 1968,277243.5897,16666.66667,0.02696781
6,12,60,0.1025,0.0269,Ricco: 1968,278846.1538,20833.33333,0.02736781
6,12,60,0.1025,0.0271,Ricco: 1968,288461.5385,17628.20513,0.02756781
6,12,60,0.1025,0.0274,Ricco: 1968,264423.0769,14423.07692,0.02786781
6,12,60,0.1025,0.0276,Ricco: 1968,264423.0769,14423.07692,0.02806781
6,12,60,0.1025,0.0278,Ricco: 1968,216346.1538,16025.64103,0.02826781
6,12,60,0.1025,0.028,Ricco: 1968,235576.9231,14423.07692,0.02846781
6,12,60,0.1025,0.0282,Ricco: 1968,235576.9231,17628.20513,0.02866781
6,12,60,0.1025,0.0283,Ricco: 1968,243589.7436,11217.94872,0.02876781
6,12,60,0.1025,0.0285,Ricco: 1968,217948.7179,15064.10256,0.02896781
6,12,60,0.1025,0.0287,Ricco: 1968,230769.2308,9294.871795,0.02916781
6,12,60,0.1025,0.0289,Ricco: 1968,233974.359,17628.20513,0.02936781
6,12,60,0.1025,0.029,Ricco: 1968,252564.1026,13461.53846,0.02946781
6,12,60,0.1025,0.0292,Ricco: 1968,237179.4872,14423.07692,0.02966781
6,12,60,0.1025,0.0295,Ricco: 1968,246794.8718,12179.48718,0.02996781
6,12,60,0.1025,0.0299,Ricco: 1968,247115.3846,18589.74359,0.03036781
6,12,60,0.1025,0.0302,Ricco: 1968,233974.359,16346.15385,0.03066781
6,12,60,0.1025,0.0305,Ricco: 1968,246794.8718,14743.58974,0.03096781
6,12,60,0.1025,0.0309,Ricco: 1968,209935.8974,17628.20513,0.03136781
6,12,60,0.1025,0.0311,Ricco: 1968,228525.641,16666.66667,0.03156781
