Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,2,15,0.03,7108,297.1,28
6,12,2,15,0.04,12530,407.2,28
6,12,2,15,0.05,19550,516.1,28
6,12,2,15,0.06,27760,616.3,28
6,12,2,15,0.07,37020,703.3,28
6,12,2,15,0.08,47380,795.9,28
6,12,2,15,0.09,58370,881.4,28
6,12,2,15,0.1,69190,954.9,28
6,12,2,15,0.11,79180,1006,28
6,12,2,15,0.12,88090,1057,28
6,12,2,15,0.13,95260,1096,28
6,12,2,15,0.14,99620,1106,28
6,12,2,15,0.15,101300,1104,28
6,12,2,15,0.16,100500,1086,28
6,12,2,15,0.17,97810,1056,28
6,12,2,15,0.18,93520,1029,28
6,12,2,15,0.19,86880,990.4,28
6,12,2,15,0.2,78490,902.6,28
6,12,2,15,0.21,70250,843,28
6,12,2,15,0.22,62900,780,28
6,12,2,15,0.23,56010,733.7,28
6,12,2,15,0.24,49320,665.8,28
6,12,2,15,0.25,43850,622.7,28
6,12,2,15,0.26,39660,579,28
6,12,2,15,0.27,36760,555,28
6,12,2,15,0.28,35170,541.6,28
6,12,2,15,0.29,34420,540.4,28
6,12,2,15,0.3,33760,536.8,28
6,12,2,15,0.31,33220,531.4,28
6,12,2,15,0.32,33230,538.3,28
6,12,2,15,0.33,33580,533.9,28
6,12,2,15,0.34,34780,549.4,28
6,12,2,15,0.35,36210,572.1,28
6,12,2,15,0.36,37060,574.5,28
6,12,2,15,0.37,37580,586.3,28
6,12,2,15,0.38,38130,594.9,28
6,12,2,15,0.39,38740,596.6,28
6,12,2,15,0.4,39560,609.2,28
6,12,2,15,0.41,39980,615.6,28
6,12,2,15,0.42,39610,598.2,28
6,12,2,15,0.43,39290,597.2,28
6,12,2,15,0.44,39340,605.9,28
6,12,2,15,0.45,39120,598.5,28
6,12,2,15,0.46,38510,593,28
6,12,2,15,0.47,37670,580.1,28
6,12,2,15,0.48,36840,571,28
6,12,2,15,0.49,35680,563.8,28
6,12,2,15,0.5,34470,537.8,28
6,12,2,15,0.51,33270,532.4,28
6,12,2,15,0.52,31960,514.6,28
6,12,2,15,0.53,30600,505,28
6,12,2,15,0.54,28960,486.5,28
6,12,2,15,0.55,27520,470.5,28
6,12,2,15,0.56,26540,469.8,28
6,12,2,15,0.57,25560,447.4,28
6,12,2,15,0.58,24880,457.8,28
6,12,2,15,0.59,24100,443.4,28
6,12,2,15,0.6,23090,431.7,28
6,12,2,15,0.61,22410,430.2,28
6,12,2,15,0.62,22060,434.6,28
6,12,2,15,0.63,21620,434.5,28
6,12,2,15,0.64,20640,421.1,28
6,12,2.5,15,0.03,343.2,68.06,28
6,12,2.5,15,0.04,667.2,63.72,28
6,12,2.5,15,0.05,1057,95.89,28
6,12,2.5,15,0.06,1547,117.6,28
6,12,2.5,15,0.07,2254,125.8,28
6,12,2.5,15,0.08,3236,156.6,28
6,12,2.5,15,0.09,4494,197.7,28
6,12,2.5,15,0.1,6034,228.7,28
6,12,2.5,15,0.11,7961,277.8,28
6,12,2.5,15,0.12,10270,293.7,28
6,12,2.5,15,0.13,12660,329.1,28
6,12,2.5,15,0.14,15210,368,28
6,12,2.5,15,0.15,17630,389.5,28
6,12,2.5,15,0.16,19800,415.8,28
6,12,2.5,15,0.17,21700,442.8,28
6,12,2.5,15,0.18,23630,453.8,28
6,12,2.5,15,0.19,25410,457.4,28
6,12,2.5,15,0.2,27020,475.5,28
6,12,2.5,15,0.21,28220,482.5,28
6,12,2.5,15,0.22,28900,491.4,28
6,12,2.5,15,0.23,29200,481.8,28
6,12,2.5,15,0.24,29070,476.7,28
6,12,2.5,15,0.25,28520,470.6,28
6,12,2.5,15,0.26,27720,454.6,28
6,12,2.5,15,0.27,26570,449,28
6,12,2.5,15,0.28,25000,432.5,28
6,12,2.5,15,0.29,23360,406.4,28
6,12,2.5,15,0.3,22130,394,28
6,12,2.5,15,0.31,20880,384.2,28
6,12,2.5,15,0.32,19570,364,28
6,12,2.5,15,0.33,18650,352.5,28
6,12,2.5,15,0.34,17860,325,28
6,12,2.5,15,0.35,16850,321.8,28
6,12,2.5,15,0.36,16080,320.1,28
6,12,2.5,15,0.37,15620,301.4,28
6,12,2.5,15,0.38,15340,306.8,28
6,12,2.5,15,0.39,15150,302.9,28
6,12,2.5,15,0.4,14960,303.7,28
6,12,2.5,15,0.41,14900,304,28
6,12,2.5,15,0.42,15040,305.4,28
6,12,2.5,15,0.43,15270,310,28
6,12,2.5,15,0.44,15440,302.7,28
6,12,2.5,15,0.45,15590,314.9,28
6,12,2.5,15,0.46,15880,316.1,28
6,12,2.5,15,0.47,16100,325.2,28
6,12,2.5,15,0.48,16230,322.9,28
6,12,2.5,15,0.49,16360,322.2,28
6,12,2.5,15,0.5,16460,319.2,28
6,12,2.5,15,0.51,16550,321.1,28
6,12,2.5,15,0.52,16460,320.9,28
6,12,2.5,15,0.53,16180,318.7,28
6,12,2.5,15,0.54,15940,312.5,28
6,12,2.5,15,0.55,15700,315.7,28
6,12,2.5,15,0.56,15560,309.6,28
6,12,2.5,15,0.57,15380,298.4,28
6,12,2.5,15,0.58,14990,304.3,28
6,12,2.5,15,0.59,14570,291.4,28
6,12,2.5,15,0.6,14270,291.1,28
6,12,2.5,15,0.61,14110,280.9,28
6,12,2.5,15,0.62,13870,284.2,28
6,12,2.5,15,0.63,13540,274.8,28
6,12,2.5,15,0.64,13240,272.7,28
6,12,2.5,15,0.65,12750,269.1,28
6,12,2.5,15,0.66,12180,260.6,28
6,12,2.5,15,0.67,11820,260,28
6,12,2.5,15,0.68,11690,254.9,28
6,12,2.5,15,0.69,11640,252.5,28
