q,scaleRL,scaleRT
0.1,0.4194255872254602,2.080575026549952
0.148,0.6188742728924298,1.2805738231171933
0.167,0.6824777790520278,1.2154166769495665
0.205,0.7835539001752055,1.1668175446450668
0.24,0.8553337526416521,1.165748266378983
0.3,0.9422911692010885,1.1879917541853844
0.38,1.0021880242593528,1.2049532457754206
0.475,1.0224630497703824,1.1917993635724509
0.57,1.031791147346975,1.170761908329483
0.649,1.0515210169931266,1.1662608058483503
0.756,1.096609576211181,1.1778670415329937
0.991,1.243798769068675,1.2322777894924084
