q (GeV),Q^2 (GeV^2),Ex (GeV),nu (GeV),RT (GeV^-1),RL (GeV^-1),RTQE (GeV^-1),RLQE (GeV^-1),RTIE (GeV^-1),RLIE (GeV^-1),RTE (GeV^-1),RLE (GeV^-1),RTNS (GeV^-1),RLNS (GeV^-1)
0.1,0.01,-0.00035,0.0001,6.5554e-06,1.8148e-05,0,0,0,0,0,0,6.5554e-06,1.8148e-05
0.1,0.01,-0.00025,0.0002,7.084e-06,1.9564e-05,0,0,0,0,0,0,7.084e-06,1.9564e-05
0.1,0.01,-0.00015,0.0003,7.6534e-06,2.1094e-05,0,0,0,0,0,0,7.6534e-06,2.1094e-05
0.1,0.01,-5e-05,0.0004,8.2666e-06,2.2758e-05,0,0,0,0,0,0,8.2666e-06,2.2758e-05
0.1,0.01,5e-05,0.0005,8.9267e-06,2.4591e-05,0,0,0,0,0,0,8.9267e-06,2.4591e-05
0.1,0.01,0.00015,0.0006,9.6372e-06,2.6666e-05,0,0,0,0,0,0,9.6372e-06,2.6666e-05
0.1,0.01,0.00025,0.0007,1.0402e-05,2.9133e-05,0,0,0,0,0,0,1.0402e-05,2.9133e-05
0.1,0.01,0.00035,0.0008,1.1224e-05,3.2308e-05,0,0,0,0,0,0,1.1224e-05,3.2308e-05
0.1,0.01,0.00045,0.0009,1.2109e-05,3.6854e-05,0,0,0,0,0,0,1.2109e-05,3.6854e-05
0.1,0.01,0.00055,0.001,1.306e-05,4.4147e-05,0,0,0,0,0,0,1.306e-05,4.4147e-05
0.1,0.01,0.00065,0.0011,1.4082e-05,5.6977e-05,0,0,0,0,0,0,1.4082e-05,5.6977e-05
0.1,0.01,0.00075,0.0012,1.5181e-05,8.0902e-05,0,0,0,0,0,0,1.5181e-05,8.0902e-05
0.1,0.01,0.00085,0.0013,1.6361e-05,0.00012675,0,0,0,0,0,0,1.6361e-05,0.00012675
0.1,0.01,0.00095,0.0014,1.7629e-05,0.00021516,0,0,0,0,0,0,1.7629e-05,0.00021516
0.1,0.01,0.00105,0.0015,1.899e-05,0.00038457,0,0,0,0,0,0,1.899e-05,0.00038457
0.1,0.01,0.00115,0.0016,2.0452e-05,0.00070502,0,0,0,0,0,0,2.0452e-05,0.00070502
0.1,0.01,0.00125,0.0017,2.2021e-05,0.0013011,0,0,0,0,0,0,2.2021e-05,0.0013011
0.1,0.01,0.00135,0.0018,2.3704e-05,0.0023895,0,0,0,0,0,0,2.3704e-05,0.0023895
0.1,0.01,0.00145,0.0019,2.551e-05,0.0043377,0,0,0,0,0,0,2.551e-05,0.0043377
0.1,0.01,0.00155,0.002,2.7447e-05,0.0077548,0,0,0,0,0,0,2.7447e-05,0.0077548
0.1,0.01,0.00165,0.0021,2.9523e-05,0.013625,0,0,0,0,0,0,2.9523e-05,0.013625
0.1,0.01,0.00175,0.0022,3.1749e-05,0.023501,0,0,0,0,0,0,3.1749e-05,0.023501
0.1,0.00999,0.00185,0.0023,3.4135e-05,0.039768,0,0,0,0,0,0,3.4135e-05,0.039768
0.1,0.00999,0.00195,0.0024,3.669e-05,0.065995,0,0,0,0,0,0,3.669e-05,0.065995
0.1,0.00999,0.00205,0.0025,3.9428e-05,0.10738,0,0,0,0,0,0,3.9428e-05,0.10738
0.1,0.00999,0.00215,0.0026,4.2359e-05,0.1713,0,0,0,0,0,0,4.2359e-05,0.1713
0.1,0.00999,0.00225,0.0027,4.5498e-05,0.26788,0,0,0,0,0,0,4.5498e-05,0.26788
0.1,0.00999,0.00235,0.0028,4.8857e-05,0.41064,0,0,0,0,0,0,4.8857e-05,0.41064
0.1,0.00999,0.00245,0.0029,5.2451e-05,0.61706,0,0,0,0,0,0,5.2451e-05,0.61706
0.1,0.00999,0.00255,0.003,5.6296e-05,0.9089,0,0,0,0,0,0,5.6296e-05,0.9089
0.1,0.00999,0.00265,0.0031,6.0408e-05,1.3123,0,0,0,0,0,0,6.0408e-05,1.3123
0.1,0.00999,0.00275,0.0032,6.4805e-05,1.8572,0,0,0,0,0,0,6.4805e-05,1.8572
0.1,0.00999,0.00285,0.0033,6.9505e-05,2.5764,0,0,0,0,0,0,6.9505e-05,2.5764
0.1,0.00999,0.00295,0.0034,7.4527e-05,3.5033,0,0,0,0,0,0,7.4527e-05,3.5033
0.1,0.00999,0.00305,0.0035,7.9893e-05,4.6693,0,0,0,0,0,0,7.9893e-05,4.6693
0.1,0.00999,0.00315,0.0036,8.5624e-05,6.1003,0,0,0,0,0,0,8.5624e-05,6.1003
0.1,0.00999,0.00325,0.0037,9.1745e-05,7.8119,0,0,0,0,0,0,9.1745e-05,7.8119
0.1,0.00999,0.00335,0.0038,9.8279e-05,9.8058,0,0,0,0,0,0,9.8279e-05,9.8058
0.1,0.00998,0.00345,0.0039,0.00010525,12.065,0,0,0,0,0,0,0.00010525,12.065
0.1,0.00998,0.00355,0.004,0.00011269,14.55,0,0,0,0,0,0,0.00011269,14.55
0.1,0.00998,0.00365,0.0041,0.00012063,17.2,0,0,0,0,0,0,0.00012063,17.2
0.1,0.00998,0.00375,0.0042,0.0001291,19.93,0,0,0,0,0,0,0.0001291,19.93
0.1,0.00998,0.00385,0.0043,0.00013812,22.635,0,0,0,0,0,0,0.00013812,22.635
0.1,0.00998,0.00395,0.0044,0.00014774,25.199,0,0,0,0,0,0,0.00014774,25.199
0.1,0.00998,0.00405,0.0045,0.00015799,27.497,0,0,0,0,0,0,0.00015799,27.497
0.1,0.00998,0.00415,0.0046,0.00016892,29.411,0,0,0,0,0,0,0.00016892,29.411
0.1,0.00998,0.00425,0.0047,0.00018055,30.834,0,0,0,0,0,0,0.00018055,30.834
0.1,0.00998,0.00435,0.0048,0.00019294,31.687,0,0,0,0,0,0,0.00019294,31.687
0.1,0.00998,0.00445,0.0049,0.00020613,31.918,0,0,0,0,0,0,0.00020613,31.918
0.1,0.00998,0.00455,0.005,0.00022016,31.514,0,0,0,0,0,0,0.00022016,31.514
0.1,0.00997,0.00465,0.0051,0.0002351,30.499,0,0,0,0,0,0,0.0002351,30.499
0.1,0.00997,0.00475,0.0052,0.00025099,28.933,0,0,0,0,0,0,0.00025099,28.933
0.1,0.00997,0.00485,0.0053,0.00026788,26.906,0,0,0,0,0,0,0.00026788,26.906
0.1,0.00997,0.00495,0.0054,0.00028584,24.528,0,0,0,0,0,0,0.00028584,24.528
0.1,0.00997,0.00505,0.0055,0.00030494,21.922,0,0,0,0,0,0,0.00030494,21.922
0.1,0.00997,0.00515,0.0056,0.00032523,19.214,0,0,0,0,0,0,0.00032523,19.214
