Q^2 (GeV^2),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.01,0.012703,0.89419,0.012256,26.228,11.728,0.091817,0.045878
0.01,0.01727,0.90276,0.016822,16.119,3.7009,2.0338,0.36064
0.01,0.017615,0.90341,0.017168,22.337,8.8617,0.82158,1.0886
0.01,0.022342,0.91228,0.021895,35.834,5.4108,5.9879,1.4997
0.01,0.022518,0.91261,0.022071,37.298,8.6597,10.524,0.85601
0.01,0.027182,0.92136,0.026734,37.629,5.2842,9.9484,2.0033
0.01,0.027399,0.92177,0.026952,30.064,8.6547,11.468,1.2997
0.01,0.032364,0.93109,0.031917,23.504,4.0059,5.7566,0.96877
0.01,0.037168,0.9401,0.036721,22.928,3.7407,3.3452,0.89682
0.01,0.0437,0.95236,0.043252,15.934,3.5595,3.7946,1.4897
0.01,0.056552,0.97648,0.056105,10.689,2.5355,0.0088861,0.46865
0.02,0.040479,0.93632,0.039585,24.574,0.77655,11.487,0.34978
0.02,0.050043,0.95426,0.049148,19.423,0.21211,9.2388,0.21809
0.02,0.10469,1.0568,0.1038,8.2159,1.013,2.3636,0.93015
0.026,0.062995,0.97257,0.061832,18.441,1.7514,5.1917,1.7989
0.026,0.085108,1.0141,0.083945,9.0138,0.97522,3.7839,0.35816
0.026,0.12184,1.083,0.12067,4.5872,0.7582,1.8308,0.19212
0.04,0.042173,0.9195,0.040384,35.667,1.26,15.51,0.609
0.04,0.057421,0.94811,0.055632,28.593,1.8027,11.001,1.6316
0.04,0.078568,0.98779,0.076778,15.25,0.90436,8.9734,0.40356
0.04,0.093299,1.0154,0.09151,10.354,0.93414,7.4194,0.24435
0.04,0.11922,1.0641,0.11743,4.615,1.3274,6.7949,1.3196
0.04,0.1418,1.1064,0.14001,4.3744,1.525,4.57,1.1549
0.04,0.20069,1.217,0.1989,6.8189,4.728,6.4493,3.2024
0.04,0.43617,1.6588,0.43438,6.0306,8.3792,28.903,1.7212
0.056,0.043406,0.90581,0.040901,33.391,0.74312,19.778,0.45139
0.056,0.048955,0.91622,0.04645,32.479,0.68474,19.841,0.29853
0.056,0.062108,0.9409,0.059603,30.179,0.4835,17.375,0.26557
0.056,0.077971,0.97067,0.075466,23.507,0.42093,13.416,0.30475
0.056,0.090602,0.99438,0.088097,18.263,0.62123,10.393,0.46153
0.056,0.10301,1.0177,0.10051,14.231,0.61564,7.6784,0.554
0.056,0.11928,1.0482,0.11677,9.634,0.51231,6.785,0.51231
0.056,0.142,1.0908,0.13949,6.805,0.41556,5.164,0.47422
0.056,0.17913,1.1605,0.17663,4.2371,0.39051,6.165,0.40687
0.056,0.22388,1.2445,0.22137,0.75554,0.67781,14.207,0.60124
0.056,0.28292,1.3553,0.28042,3.1738,1.2842,23.322,0.87991
0.056,0.44451,1.6585,0.442,-1.4585,2.7509,32.178,1.0419
0.093,0.044136,0.87018,0.039976,26.82,0.67256,14.004,0.3634
0.093,0.046276,0.8742,0.042116,24.167,0.90376,16.248,0.35979
0.093,0.049647,0.88052,0.045487,24.727,0.36834,17.951,0.34512
0.093,0.055719,0.89191,0.051559,26.606,0.74359,19.279,0.76181
0.093,0.062253,0.90418,0.058093,24.503,0.83581,22.214,0.99496
0.093,0.068596,0.91608,0.064436,24.198,0.65145,23.673,0.78193
0.093,0.075488,0.92901,0.071328,25.881,1.2513,22.302,0.96888
0.093,0.081882,0.94101,0.077722,23.328,0.60864,22.706,0.75439
0.093,0.087959,0.95242,0.083799,22.46,0.65962,20.684,0.77697
0.093,0.09422,0.96416,0.09006,20.682,0.69521,20.124,0.73445
0.093,0.10221,0.97916,0.098052,19.019,0.5541,17.441,0.67903
0.093,0.11426,1.0018,0.1101,15.842,0.48451,14.744,0.60327
0.093,0.13564,1.0419,0.13148,10.043,0.31387,11.909,0.40543
0.093,0.1615,1.0904,0.15734,6.9323,0.39026,9.6511,0.46996
0.093,0.18563,1.1357,0.18147,3.4758,0.3334,10.663,0.41603
0.093,0.21,1.1814,0.20584,1.5397,0.41707,13.015,0.47735
0.093,0.23335,1.2253,0.22919,0.64402,0.44445,15.361,0.46601
0.093,0.26114,1.2774,0.25698,-0.41196,0.54851,19.73,0.5793
0.093,0.29269,1.3366,0.28853,0.12484,0.72398,23.901,0.66984
0.093,0.32278,1.3931,0.31862,-0.05357,1.0875,28.566,0.92381
0.093,0.35832,1.4598,0.35416,-0.82301,1.5727,32.741,1.2168
0.093,0.39656,1.5315,0.3924,-0.75945,2.4452,34.104,1.6788
0.093,0.44648,1.6252,0.44232,-8.6224,1.8805,37.288,1.0483
0.093,0.53365,1.7888,0.52949,-6.8662,3.7047,30.792,1.6314
0.12,0.035733,0.82741,0.030365,13.008,0.29761,9.343,0.33675
0.12,0.050606,0.85532,0.045239,16.782,0.35141,17.468,0.41868
0.12,0.063568,0.87964,0.0582,17.015,0.41158,22.88,0.54634
0.12,0.078372,0.90742,0.073004,19.39,0.34604,24.533,0.4493
0.12,0.094505,0.9377,0.089137,18.698,0.44755,24.985,0.58419
0.12,0.11098,0.96862,0.10561,16.391,0.39614,23.028,0.5247
0.12,0.12817,1.0009,0.1228,13.298,0.35886,19.449,0.47291
0.12,0.14525,1.0329,0.13988,10.376,0.29919,15.72,0.3725
0.12,0.1629,1.0661,0.15754,7.8484,0.30049,12.836,0.38328
0.12,0.17981,1.0978,0.17444,5.9922,0.25978,11.427,0.29778
0.12,0.19739,1.1308,0.19202,4.0283,0.25392,11.555,0.32013
0.12,0.21545,1.1647,0.21009,2.9225,0.2681,11.824,0.30734
0.12,0.23372,1.1989,0.22836,2.5076,0.2997,12.688,0.36011
0.12,0.25368,1.2364,0.24831,1.4773,0.36155,15.619,0.41354
0.12,0.27605,1.2784,0.27068,0.7769,0.49462,18.721,0.52281
