q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.1,0.012701,0.89435,0.012261,26.062,11.631,0.010526,0.012898
0.1,0.017422,0.90335,0.016989,2.4505,5.1871,3.4389,0.41074
0.1,0.022608,0.91329,0.022184,39.534,8.3388,8.6701,1.024
0.1,0.027554,0.92282,0.02714,29.612,7.8549,9.4041,1.3334
0.1,0.017263,0.90305,0.016829,25.787,4.9982,0.13096,0.69805
0.1,0.022226,0.91256,0.021801,29.63,4.6597,7.6731,0.93412
0.1,0.027336,0.9224,0.026922,31.948,4.3975,10.672,1.202
0.1,0.032804,0.93299,0.032404,21.73,3.3298,5.3146,0.78083
0.1,0.038154,0.94341,0.037771,17.415,2.7827,2.2268,0.65574
0.1,0.041403,0.94977,0.041033,13.961,2.5022,0.90599,0.48904
0.1,0.046844,0.96046,0.046495,8.7871,2.0708,0.85379,0.42315
0.148,0.056581,0.96783,0.055745,18.128,1.1392,5.6465,0.22868
0.167,0.10167,1.0536,0.10088,6.9888,1.1048,2.0909,0.99695
0.205,0.049531,0.93373,0.047761,29.601,0.91605,16.052,0.40176
0.205,0.065757,0.96605,0.06407,22.804,1.185,8.8586,1.0508
0.205,0.083308,1.0016,0.081738,11.52,0.67161,7.366,0.26509
0.205,0.099391,1.0347,0.097953,7.901,0.73498,4.5323,0.2317
0.24,0.045153,0.90953,0.042668,33.024,0.77436,20.069,0.35107
0.24,0.050095,0.91927,0.047631,33.346,0.81117,18.91,0.45053
0.24,0.056105,0.93119,0.053669,33.848,0.8454,17.879,0.46925
0.24,0.063557,0.94606,0.061161,29.902,0.95327,16.442,0.31331
0.24,0.072891,0.96485,0.070552,24.894,0.67705,13.549,0.3576
0.24,0.082898,0.98519,0.080628,18.905,0.63669,11.09,0.3363
0.24,0.096631,1.0134,0.094472,14.542,1.523,6.6263,1.5221
0.24,0.11026,1.0418,0.10823,8.1629,0.97396,7.1706,0.78038
0.24,0.11951,1.0613,0.11757,7.4584,0.86614,5.1035,0.59536
0.24,0.12762,1.0785,0.12577,5.2845,1.277,4.8958,0.75254
0.24,0.13523,1.0948,0.13347,5.2044,1.2197,4.273,0.8221
0.24,0.14387,1.1134,0.14222,5.7943,1.3965,2.7909,0.96303
0.24,0.15424,1.136,0.15273,5.7611,1.6732,2.1696,1.1135
0.3,0.046801,0.88037,0.042873,25.363,0.42364,18.068,0.45638
0.3,0.051614,0.88988,0.047707,26.952,0.749,19.757,0.66141
0.3,0.05709,0.90075,0.05321,26.761,0.6031,21.064,0.7244
0.3,0.062832,0.91221,0.058983,26.234,0.73392,22.473,0.79948
0.3,0.068453,0.9235,0.064637,25.79,0.79776,22.795,0.83904
0.3,0.073987,0.93467,0.070206,25.221,0.64804,22.562,0.76946
0.3,0.079482,0.94583,0.075739,24.322,0.92893,21.219,1.0495
0.3,0.084531,0.95613,0.080825,23.298,0.6234,19.566,0.69008
0.3,0.089846,0.96703,0.086182,21.721,0.62906,18.387,0.6705
0.3,0.095071,0.9778,0.091449,20.192,0.52809,16.305,0.63211
0.3,0.10028,0.98858,0.0967,17.382,1.0224,15.359,0.78706
