qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS,QD
0.01141,0.0001,0.0055,0.0055,1.9716295288281147e-07,6.775266e-08,-0.0,0.0,0.0,0.0,0.0,0.0,1.903925e-07,6.775266e-08,6.77045288281149e-09
0.01166,0.0001,0.006,0.006,2.8494513745353946e-07,9.616057e-08,-0.0,0.0,0.0,0.0,0.0,0.0,2.635703e-07,9.616057e-08,2.1374837453539473e-08
0.01193,0.0001,0.0065,0.0065,4.1898046136686123e-07,1.832061e-07,-0.0,0.0,0.0,0.0,0.0,0.0,3.628094e-07,1.832061e-07,5.617106136686124e-08
0.01221,0.0001,0.007,0.007,6.245081076758595e-07,2.566566e-06,-0.0,0.0,0.0,0.0,0.0,0.0,4.965685e-07,2.566566e-06,1.2793960767585952e-07
0.0125,0.0001,0.0075,0.0075,9.358319218035561e-07,1.526751e-05,-0.0,0.0,0.0,0.0,0.0,0.0,6.757452e-07,1.526751e-05,2.6008672180355603e-07
0.01281,0.0001,0.008,0.008,1.396584166451989e-06,1.137742e-05,-0.0,0.0,0.0,0.0,0.0,0.0,9.142746e-07,1.137742e-05,4.82309566451989e-07
0.01312,0.0001,0.0085,0.0085,2.0593567256975585e-06,1.694184e-06,-0.0,0.0,0.0,0.0,0.0,0.0,1.229843e-06,1.694184e-06,8.295137256975584e-07
0.01345,0.0001,0.009,0.009,2.984956894404358e-06,1.289464e-06,-0.0,0.0,0.0,0.0,0.0,0.0,1.644737e-06,1.289464e-06,1.3402198944043583e-06
0.01379,0.0001,0.0095,0.0095,4.241575530404782e-06,2.196156e-06,-0.0,0.0,0.0,0.0,0.0,0.0,2.186843e-06,2.196156e-06,2.054732530404782e-06
0.01414,0.0001,0.01,0.01,5.904150917216803e-06,4.221481e-06,-0.0,0.0,0.0,0.0,0.0,0.0,2.890839e-06,4.221481e-06,3.0133119172168035e-06
0.0145,0.0001,0.0105,0.0105,8.05414606743669e-06,1.161231e-05,-0.0,0.0,0.0,0.0,0.0,0.0,3.799619e-06,1.161231e-05,4.25452706743669e-06
0.01487,0.0001,0.011,0.011,1.0779948726086e-05,3.601997e-05,-0.0,0.0,0.0,0.0,0.0,0.0,4.966052e-06,3.601997e-05,5.813896726086001e-06
0.01524,0.0001,0.0115,0.0115,1.4178059763976854e-05,0.0001138043,-0.0,0.0,0.0,0.0,0.0,0.0,6.455195e-06,0.0001138043,7.722864763976854e-06
