qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.03162,0.001,6e-05,0.0001,7.840175e-09,3.500191e-09,0.0,0.0,0.0,0.0,0.0,0.0,7.840175e-09,3.500191e-09
0.03162,0.001,0.00016,0.0002,8.464186e-09,3.766332e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.464186e-09,3.766332e-09
0.03162,0.001,0.00026,0.0003,9.135696e-09,4.052303e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.135696e-09,4.052303e-09
0.03163,0.001,0.00036,0.0004,9.858142e-09,4.359806e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.858142e-09,4.359806e-09
0.03163,0.001,0.00046,0.0005,1.06352e-08,4.690989e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.06352e-08,4.690989e-09
0.03163,0.001,0.00056,0.0006,1.147078e-08,5.048826e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.147078e-08,5.048826e-09
0.03163,0.001,0.00066,0.0007,1.236908e-08,5.437843e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.236908e-08,5.437843e-09
0.03163,0.001,0.00076,0.0008,1.333457e-08,5.865504e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.333457e-08,5.865504e-09
0.03164,0.001,0.00086,0.0009,1.437201e-08,6.344771e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.437201e-08,6.344771e-09
0.03164,0.001,0.00096,0.001,1.548649e-08,6.898752e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.548649e-08,6.898752e-09
0.03164,0.001,0.00106,0.0011,1.668343e-08,7.568887e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.668343e-08,7.568887e-09
0.03165,0.001,0.00116,0.0012,1.796862e-08,8.429027e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.796862e-08,8.429027e-09
0.03165,0.001,0.00126,0.0013,1.934823e-08,9.608989e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.934823e-08,9.608989e-09
0.03165,0.001,0.00136,0.0014,2.082883e-08,1.133286e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.082883e-08,1.133286e-08
0.03166,0.001,0.00146,0.0015,2.24174e-08,1.397953e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.24174e-08,1.397953e-08
0.03166,0.001,0.00156,0.0016,2.412141e-08,1.817549e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.412141e-08,1.817549e-08
0.03167,0.001,0.00166,0.0017,2.594879e-08,2.493264e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.594879e-08,2.493264e-08
0.03167,0.001,0.00176,0.0018,2.790799e-08,3.584602e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.790799e-08,3.584602e-08
0.03168,0.001,0.00186,0.0019,3.0008e-08,5.336757e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0008e-08,5.336757e-08
0.03169,0.001,0.00196,0.002,3.225837e-08,8.117004e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.225837e-08,8.117004e-08
0.03169,0.001,0.00206,0.0021,3.466928e-08,1.246095e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.466928e-08,1.246095e-07
0.0317,0.001,0.00216,0.0022,3.725153e-08,1.912833e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.725153e-08,1.912833e-07
0.03171,0.001,0.00226,0.0023,4.001662e-08,2.916599e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.001662e-08,2.916599e-07
0.03171,0.001,0.00236,0.0024,4.297676e-08,4.397324e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.297676e-08,4.397324e-07
0.03172,0.001,0.00246,0.0025,4.614493e-08,6.536104e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.614493e-08,6.536104e-07
0.03173,0.001,0.00256,0.0026,4.953489e-08,9.559295e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.953489e-08,9.559295e-07
0.03174,0.001,0.00266,0.0027,5.316127e-08,1.373922e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.316127e-08,1.373922e-06
0.03175,0.001,0.00276,0.0028,5.70396e-08,1.938973e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.70396e-08,1.938973e-06
0.03176,0.001,0.00286,0.0029,6.118634e-08,2.685474e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.118634e-08,2.685474e-06
0.03176,0.001,0.00296,0.003,6.561899e-08,3.648844e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.561899e-08,3.648844e-06
0.03177,0.001,0.00306,0.0031,7.035605e-08,4.862632e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.035605e-08,4.862632e-06
0.03178,0.001,0.00316,0.0032,7.541719e-08,6.354766e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.541719e-08,6.354766e-06
0.03179,0.001,0.00326,0.0033,8.082322e-08,8.143144e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.082322e-08,8.143144e-06
0.03181,0.001,0.00336,0.0034,8.659621e-08,1.023095e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.659621e-08,1.023095e-05
0.03182,0.001,0.00346,0.0035,9.275952e-08,1.260227e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.275952e-08,1.260227e-05
0.03183,0.001,0.00356,0.0036,9.933792e-08,1.521858e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.933792e-08,1.521858e-05
0.03184,0.001,0.00366,0.0037,1.063576e-07,1.801692e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.063576e-07,1.801692e-05
0.03185,0.001,0.00376,0.0038,1.138463e-07,2.09103e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.138463e-07,2.09103e-05
0.03186,0.001,0.00386,0.0039,1.218334e-07,2.379076e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.218334e-07,2.379076e-05
0.03187,0.001,0.00396,0.004,1.303498e-07,2.653515e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.303498e-07,2.653515e-05
0.03189,0.001,0.00406,0.0041,1.394285e-07,2.901341e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.394285e-07,2.901341e-05
0.0319,0.001,0.00416,0.0042,1.49104e-07,3.109862e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.49104e-07,3.109862e-05
0.03191,0.001,0.00426,0.0043,1.594132e-07,3.267782e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.594132e-07,3.267782e-05
0.03193,0.001,0.00436,0.0044,1.703946e-07,3.366234e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.703946e-07,3.366234e-05
0.03194,0.001,0.00446,0.0045,1.820893e-07,3.399642e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.820893e-07,3.399642e-05
0.03196,0.001,0.00456,0.0046,1.945404e-07,3.366309e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.945404e-07,3.366309e-05
0.03197,0.001,0.00466,0.0047,2.077936e-07,3.268668e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.077936e-07,3.268668e-05
0.03198,0.001,0.00476,0.0048,2.218969e-07,3.113164e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.218969e-07,3.113164e-05
0.032,0.001,0.00486,0.0049,2.369011e-07,2.909831e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.369011e-07,2.909831e-05
0.03202,0.001,0.00496,0.005,2.528599e-07,2.671637e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.528599e-07,2.671637e-05
0.03203,0.001,0.00506,0.0051,2.698296e-07,2.41373e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.698296e-07,2.41373e-05
0.03205,0.001,0.00516,0.0052,2.878698e-07,2.152732e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.878698e-07,2.152732e-05
0.03206,0.001,0.00526,0.0053,3.070431e-07,1.906207e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.070431e-07,1.906207e-05
