qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS,QD
0.07071,0.005,0.00028,0.0005,1.243694e-08,1.270449e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.243694e-08,1.270449e-08,0.0
0.07072,0.005,0.00078,0.001,1.821004e-08,1.836558e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.821004e-08,1.836558e-08,0.0
0.07073,0.005,0.00128,0.0015,2.649924e-08,2.642754e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.649924e-08,2.642754e-08,0.0
0.07074,0.005,0.00178,0.002,3.832493e-08,3.785165e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.832493e-08,3.785165e-08,0.0
0.07075,0.005,0.00228,0.0025,5.5087710000879555e-08,5.397578e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.508771e-08,5.397578e-08,8.795593752754225e-19
0.07077,0.005,0.00278,0.003,7.869613591059707e-08,1.311285e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.869613e-08,1.311285e-07,5.9105970750720285e-15
0.0708,0.005,0.00328,0.0035,1.1173251172222835e-07,2.509473e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.117319e-07,2.509473e-05,6.117222283406075e-13
0.07082,0.005,0.00378,0.004,1.5767750351544415e-07,0.001312067,0.0,0.0,0.0,0.0,0.0,0.0,1.576618e-07,0.001312067,1.5703515444173126e-11
0.07085,0.005,0.00428,0.0045,2.2128439421120053e-07,0.007895888,0.0,0.0,0.0,0.0,0.0,0.0,2.211063e-07,0.007895888,1.7809421120054232e-10
0.07089,0.005,0.00478,0.005,3.0935876584212924e-07,0.005447291,0.0,0.0,0.0,0.0,0.0,0.0,3.081777e-07,0.005447291,1.1810658421292289e-09
0.07092,0.005,0.00528,0.0055,4.3228472730957895e-07,0.0004311508,0.0,0.0,0.0,0.0,0.0,0.0,4.269008e-07,0.0004311508,5.38392730957899e-09
0.07096,0.005,0.00578,0.006,6.064073736823091e-07,4.493255e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.87732e-07,4.493255e-06,1.8675373682308978e-08
0.07101,0.005,0.00628,0.0065,8.569328674099709e-07,4.610267e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.041927e-07,4.610267e-06,5.2740167409970946e-08
0.07106,0.005,0.00678,0.007,1.2207139546893887e-06,0.0004945886,0.0,0.0,0.0,0.0,0.0,0.0,1.093636e-06,0.0004945886,1.270779546893888e-07
0.07111,0.005,0.00728,0.0075,1.7483383380326372e-06,0.007377831,0.0,0.0,0.0,0.0,0.0,0.0,1.478167e-06,0.007377831,2.701713380326372e-07
0.07116,0.005,0.00778,0.008,2.5052495017476854e-06,0.01264012,0.0,0.0,0.0,0.0,0.0,0.0,1.985753e-06,0.01264012,5.194965017476853e-07
0.07122,0.005,0.00828,0.0085,3.571960123064948e-06,0.002485532,0.0,0.0,0.0,0.0,0.0,0.0,2.651551e-06,0.002485532,9.204091230649483e-07
0.07128,0.005,0.00878,0.009,5.043718302828827e-06,0.0001076657,0.0,0.0,0.0,0.0,0.0,0.0,3.51954e-06,0.0001076657,1.5241783028288266e-06
0.07135,0.005,0.00928,0.0095,7.03013864455258e-06,0.0006758394,0.0,0.0,0.0,0.0,0.0,0.0,4.644597e-06,0.0006758394,2.3855416445525807e-06
0.07141,0.005,0.00978,0.01,9.655403254507179e-06,0.001113954,0.0,0.0,0.0,0.0,0.0,0.0,6.095261e-06,0.001113954,3.560142254507179e-06
0.07149,0.005,0.01028,0.0105,1.3059790936118558e-05,0.0003002077,0.0,0.0,0.0,0.0,0.0,0.0,7.957659e-06,0.0003002077,5.102131936118558e-06
0.07156,0.005,0.01078,0.011,1.740354702235935e-05,0.0003326486,0.0,0.0,0.0,0.0,0.0,0.0,1.034142e-05,0.0003326486,7.062127022359351e-06
0.07164,0.005,0.01128,0.0115,2.28745316974899e-05,0.0003063614,0.0,0.0,0.0,0.0,0.0,0.0,1.338892e-05,0.0003063614,9.485611697489903e-06
0.07172,0.005,0.01178,0.012,2.9701821465159756e-05,0.0005486457,0.0,0.0,0.0,0.0,0.0,0.0,1.729001e-05,0.0005486457,1.2411811465159758e-05
0.07181,0.005,0.01228,0.0125,3.817821982802054e-05,0.00130687,0.0,0.0,0.0,0.0,0.0,0.0,2.230521e-05,0.00130687,1.587300982802054e-05
0.0719,0.005,0.01278,0.013,4.869575198717338e-05,0.002472202,0.0,0.0,0.0,0.0,0.0,0.0,2.88015e-05,0.002472202,1.989425198717338e-05
0.07199,0.005,0.01328,0.0135,6.180183596017279e-05,0.00361358,0.0,0.0,0.0,0.0,0.0,0.0,3.730847e-05,0.00361358,2.4493365960172787e-05
0.07208,0.005,0.01378,0.014,8.134776917512938e-05,0.004096883,0.0,0.0,0.0,0.0,0.0,0.0,5.166654e-05,0.004096883,2.9681229175129384e-05
0.07218,0.005,0.01428,0.0145,0.00042367191319089647,0.004493384,0.0,0.0,0.0,0.0,0.0,0.0,0.0003882097,0.004493384,3.546221319089645e-05
0.07228,0.005,0.01478,0.015,0.0040317067475440765,0.01277579,0.0,0.0,0.0,0.0,0.0,0.0,0.003989872,0.01277579,4.1834747544076336e-05
