qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.124,0.01538,-0.00059,0.0001,3.053159e-09,2.391354e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.053159e-09,2.391354e-08
0.124,0.01538,-0.00049,0.0002,3.301308e-09,2.578487e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.301308e-09,2.578487e-08
0.124,0.01538,-0.00039,0.0003,3.568758e-09,2.780006e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.568758e-09,2.780006e-08
0.124,0.01538,-0.00029,0.0004,3.856936e-09,2.997343e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.856936e-09,2.997343e-08
0.124,0.01538,-0.00019,0.0005,4.167371e-09,3.232591e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.167371e-09,3.232591e-08
0.124,0.01538,-9e-05,0.0006,4.501697e-09,3.489314e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.501697e-09,3.489314e-08
0.124,0.01538,1e-05,0.0007,4.861662e-09,3.774381e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.861662e-09,3.774381e-08
0.124,0.01538,0.00011,0.0008,5.249133e-09,4.10203e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.249133e-09,4.10203e-08
0.124,0.01538,0.00021,0.0009,5.666107e-09,4.502675e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.666107e-09,4.502675e-08
0.124,0.01537,0.00031,0.001,6.114717e-09,5.041561e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.114717e-09,5.041561e-08
0.124,0.01537,0.00041,0.0011,6.597239e-09,5.857369e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.597239e-09,5.857369e-08
0.124,0.01537,0.00051,0.0012,7.116107e-09,7.240204e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.116107e-09,7.240204e-08
0.124,0.01537,0.00061,0.0013,7.673917e-09,9.785404e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.673917e-09,9.785404e-08
0.124,0.01537,0.00071,0.0014,8.273438e-09,1.468955e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.273438e-09,1.468955e-07
0.124,0.01537,0.00081,0.0015,8.917627e-09,2.430612e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.917627e-09,2.430612e-07
0.124,0.01537,0.00091,0.0016,9.609635e-09,4.316251e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.609635e-09,4.316251e-07
0.124,0.01537,0.00101,0.0017,1.035282e-08,7.9774e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.035282e-08,7.9774e-07
0.124,0.01537,0.00111,0.0018,1.115078e-08,1.49795e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.115078e-08,1.49795e-06
0.124,0.01537,0.00121,0.0019,1.200731e-08,2.813472e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.200731e-08,2.813472e-06
